number_of_targets,small_fontsize,smallword_length,big_fontsize,bigword_length,distance_between,flash_time,big_lightness,small_lightness,rule
2,21,6,21,6,100,-1,1,2,opposite_on_circle
2,21,6,21,6,200,-1,1,2,opposite_on_circle
2,21,6,21,6,300,-1,1,2,opposite_on_circle
2,21,6,21,6,400,-1,1,2,opposite_on_circle
2,21,6,21,6,500,-1,1,2,opposite_on_circle
2,21,6,21,6,600,-1,1,2,opposite_on_circle
2,21,6,21,6,100,-1,1,3,opposite_on_circle
2,21,6,21,6,200,-1,1,3,opposite_on_circle
2,21,6,21,6,300,-1,1,3,opposite_on_circle
2,21,6,21,6,400,-1,1,3,opposite_on_circle
2,21,6,21,6,500,-1,1,3,opposite_on_circle
2,21,6,21,6,600,-1,1,3,opposite_on_circle
2,21,6,21,6,100,-1,1,4,opposite_on_circle
2,21,6,21,6,200,-1,1,4,opposite_on_circle
2,21,6,21,6,300,-1,1,4,opposite_on_circle
2,21,6,21,6,400,-1,1,4,opposite_on_circle
2,21,6,21,6,500,-1,1,4,opposite_on_circle
2,21,6,21,6,600,-1,1,4,opposite_on_circle
2,21,6,21,6,100,-1,2,3,opposite_on_circle
2,21,6,21,6,200,-1,2,3,opposite_on_circle
2,21,6,21,6,300,-1,2,3,opposite_on_circle
2,21,6,21,6,400,-1,2,3,opposite_on_circle
2,21,6,21,6,500,-1,2,3,opposite_on_circle
2,21,6,21,6,600,-1,2,3,opposite_on_circle
2,21,6,21,6,100,-1,2,4,opposite_on_circle
2,21,6,21,6,200,-1,2,4,opposite_on_circle
2,21,6,21,6,300,-1,2,4,opposite_on_circle
2,21,6,21,6,400,-1,2,4,opposite_on_circle
2,21,6,21,6,500,-1,2,4,opposite_on_circle
2,21,6,21,6,600,-1,2,4,opposite_on_circle
2,21,6,21,6,100,-1,2,5,opposite_on_circle
2,21,6,21,6,200,-1,2,5,opposite_on_circle
2,21,6,21,6,300,-1,2,5,opposite_on_circle
2,21,6,21,6,400,-1,2,5,opposite_on_circle
2,21,6,21,6,500,-1,2,5,opposite_on_circle
2,21,6,21,6,600,-1,2,5,opposite_on_circle
2,21,6,21,6,100,-1,3,4,opposite_on_circle
2,21,6,21,6,200,-1,3,4,opposite_on_circle
2,21,6,21,6,300,-1,3,4,opposite_on_circle
2,21,6,21,6,400,-1,3,4,opposite_on_circle
2,21,6,21,6,500,-1,3,4,opposite_on_circle
2,21,6,21,6,600,-1,3,4,opposite_on_circle
2,21,6,21,6,100,-1,3,5,opposite_on_circle
2,21,6,21,6,200,-1,3,5,opposite_on_circle
2,21,6,21,6,300,-1,3,5,opposite_on_circle
2,21,6,21,6,400,-1,3,5,opposite_on_circle
2,21,6,21,6,500,-1,3,5,opposite_on_circle
2,21,6,21,6,600,-1,3,5,opposite_on_circle
2,21,6,21,6,100,-1,3,6,opposite_on_circle
2,21,6,21,6,200,-1,3,6,opposite_on_circle
2,21,6,21,6,300,-1,3,6,opposite_on_circle
2,21,6,21,6,400,-1,3,6,opposite_on_circle
2,21,6,21,6,500,-1,3,6,opposite_on_circle
2,21,6,21,6,600,-1,3,6,opposite_on_circle