topic_num,size1mean,size1sd,dist1mean,dist1sd,n1,size2mean,size2sd,dist2mean,dist2sd,n2,flash_time,method
2,30,10,0,0,40,20,10,0,0,40,4000,A1
2,30,10,0,0,40,30,10,0,0,40,4000,B
2,30,5,0,0,40,20,5,0,0,40,4000,C
2,25,11,0,0,40,25,11,0,0,40,4000,D1
2,25,11,0,0,40,25,11,0,0,40,4000,D2
2,30,10,0,0,40,20,10,0,0,40,4000,A1
2,30,10,0,0,40,30,10,0,0,40,4000,B
2,30,5,0,0,40,20,5,0,0,40,4000,C
2,25,11,0,0,40,25,11,0,0,40,4000,D1
2,25,11,0,0,40,25,11,0,0,40,4000,D2
2,30,10,0,0,40,20,10,0,0,40,4000,A1
2,30,10,0,0,40,30,10,0,0,40,4000,B
2,30,5,0,0,40,20,5,0,0,40,4000,C
2,25,11,0,0,40,25,11,0,0,40,4000,D1
2,25,11,0,0,40,25,11,0,0,40,4000,D2
2,30,10,0,0,40,20,10,0,0,40,4000,A1
2,30,10,0,0,40,30,10,0,0,40,4000,B
2,30,5,0,0,40,20,5,0,0,40,4000,C
2,25,11,0,0,40,25,11,0,0,40,4000,D1
2,25,11,0,0,40,25,11,0,0,40,4000,D2